id,code,name,account_type,reconcile
acc_caja_principal_nacional,1.1.1.01.001,CAJA PRINCIPAL NACIONAL,asset_cash,False
acc_caja_chica,1.1.1.01.002,CAJA CHICA,asset_cash,False
acc_caja_dolares,1.1.1.02.001,CAJA DOLARES,asset_cash,False
acc_caja_euros,1.1.1.02.002,CAJA EUROS,asset_cash,False
acc_banco_generico,1.1.1.11.001,BANCO ABC,asset_cash,False
acc_transferencias_internas,1.1.1.40.000,TRANSFERENCIAS INTERNAS,asset_current,True
acc_transito_bancario,1.1.1.50.000,TRANSITO BANCARIO,asset_current,False
acc_cuentas_por_cobrar_clientes,1.1.2.01.000,CUENTAS POR COBRAR CLIENTES,asset_receivable,True
acc_cuentas_por_cobrar_a_terceros,1.1.2.02.000,CUENTAS POR COBRAR A TERCEROS,asset_current,True
acc_cuentas_por_cobrar_a_empleados,1.1.2.03.000,CUENTAS POR COBRAR A EMPLEADOS,asset_current,True
acc_cuentas_por_cobrar_accionistas,1.1.2.04.000,CUENTAS POR COBRAR ACCIONISTAS,asset_current,True
acc_efectos_por_cobrar,1.1.2.05.000,EFECTOS POR COBRAR,asset_current,True
acc_otras_cuentas_por_cobrar,1.1.2.06.000,OTRAS CUENTAS POR COBRAR,asset_current,True
acc_provision_de_cuentas_incobrables,1.1.2.07.000,PROVISION DE CUENTAS INCOBRABLES,asset_current,False
acc_retencion_iva,1.1.2.08.000,RETENCION IVA,asset_current,False
acc_credito_fiscal,1.1.2.09.000,CREDITO FISCAL,asset_current,False
acc_retencion_de_islr,1.1.2.10.000,RETENCION DE ISLR,asset_current,False
acc_anticipo_de_islr,1.1.2.11.000,ANTICIPO DE ISLR,asset_current,False
acc_inventario_de_mercancia,1.1.3.00.010,INVENTARIO DE MERCANCIA,asset_current,False
acc_inventario_en_transito,1.1.3.00.020,INVENTARIO EN TRANSITO,asset_current,False
acc_suministros_varios,1.1.3.00.030,SUMINISTROS VARIOS,asset_current,False
acc_utiles_de_oficina,1.1.3.00.040,SUMINISTROS DE OFICINA,asset_current,False
acc_seguro_pagados_por_anticipados,1.1.4.00.100,SEGURO PAGADOS POR ANTICIPADOS,asset_current,False
acc_anticipo_dado_a_proveedores,1.1.4.00.200,ANTICIPO DADO A PROVEEDORES,asset_current,False
acc_terreno,1.2.1.01.000,TERRENO,asset_fixed,False
acc_edificios,1.2.1.02.000,EDIFICIOS,asset_fixed,False
acc_depreciacion_acumulada_edificio,1.2.1.02.100,DEPRECIACION ACUMULADA EDIFICIO(-),asset_fixed,False
acc_maquinarias,1.2.1.03.000,MAQUINARIAS,asset_fixed,False
acc_depreciacion_acumulada_maquinarias,1.2.1.03.100,DEPRECIACION ACUMULADA MAQUINARIAS(-),asset_fixed,False
acc_vehiculos,1.2.1.04.000,VEHICULOS,asset_fixed,False
acc_depreciacion_acumulada_vehiculos,1.2.1.04.100,DEPRECIACION ACUMULADA VEHICULOS (-),asset_fixed,False
acc_mobiliario,1.2.1.05.000,MOBILIARIO,asset_fixed,False
acc_depreciacion_acumulada_mobiliario,1.2.1.05.100,DEPRECIACION ACUMULADA MOBILIARIO (-),asset_fixed,False
acc_equipos,1.2.1.06.000,EQUIPOS,asset_fixed,False
acc_depreciacion_acumulada_equipos,1.2.1.06.100,DEPRECIACION ACUMULADA EQUIPOS (-),asset_fixed,False
acc_acciones_en_la_empresa_xx,1.2.2.00.001,ACCIONES EN LA EMPRESA XX,asset_non_current,False
acc_bonos,1.2.2.00.002,BONOS,asset_non_current,False
acc_patente_de_fabrica,1.2.3.01.000,PATENTE DE FABRICA,asset_non_current,False
acc_amortizacion_de_patente,1.2.3.01.100,AMORTIZACION DE PATENTE (-),asset_non_current,False
acc_derechos_de_autor,1.2.3.02.000,DERECHOS DE AUTOR,asset_non_current,False
acc_amortizacion_derechos_de_autor,1.2.3.02.100,AMORTIZACION DERECHOS DE AUTOR (-),asset_non_current,False
acc_marcas_registradas,1.2.3.03.000,MARCAS REGISTRADAS,asset_non_current,False
